field	allowed_values	definition	yes_or_high_rule	no_or_low_rule	notes
human_isocolonic	yes; no; uncertain	Primary judgment: whether the two adjacent units form a rhetorically relevant isocolonic or formally parallel pair. A colon need not be an independent clause; it may be a phrase, fragment, short answer, predicate, or dialogue turn if it functions as a member of the figure.	Use yes for a recognizable parallel pair that plausibly does rhetorical work.	Use no for accidental similarity, exact repetition, formatting artifacts, merely formulaic dialogue, or uninterpretable fragments.	Use uncertain when context, segmentation, or redaction blocks a stable judgment.
formal_parallelism	none; weak; moderate; strong	Degree of matched form between unit1_text and unit2_text, including phonological, morphological, syntactic, lexical, or constructional matching.	Strong means clear matched frame, balanced units, repeated syntactic pattern, obvious slot substitution, or converging formal cues.	None means no systematic matching; weak means only local similarity.	Exact repetition can be strong here but still not count as human_isocolonic.
rhetorically_relevant	yes; no; uncertain	Whether the parallelism or relation appears to help organize, contrast, compare, coordinate, clarify, identify, intensify, or make memorable the discourse.	Use yes if the form or relation contributes to the rhetorical function.	Use no if similarity is only formatting, repetition, metadata, repair, or accidental short-unit matching.	Apposition or identity can be rhetorically relevant even when it is not comparison and not isocolon.
genuine_comparison_or_coordination	yes; no; uncertain	Whether the pair sets two items, alternatives, actions, qualities, or states beside each other.	Use yes for lists, contrasts, disjunctions, comparisons, and antitheses.	Use no for pure repetition, restatement, attribution, phatic exchange, apposition/identity, or elaboration without a paired contrast/list.	This tracks the theoretical target, not just surface form; yes here does not force human_isocolonic yes.
false_positive_repetition	yes; no; uncertain	Whether high score is mainly due to exact or near-exact repetition.	Use yes for Thank you/Thank you, repeated names, repeated fragments, capitalization variants.	Use no when the pair uses repeated structure with meaningful slot substitution.	A repeated frame is not automatically a false positive.
false_positive_list_formatting	yes; no; uncertain	Whether high score is mainly due to headings, list entries, labels, proof bullets, or menu-like formatting.	Use yes when formatting rather than wording creates the match.	Use no when list wording itself creates a rhetorical parallel pair.	Lists can be genuine isocolon.
false_positive_dialogue_formula	yes; no; uncertain	Whether high score is mainly due to formulaic dialogue, backchannel, repair, short answer, or turn-taking.	Use yes for ordinary short dialogue turns that look parallel only because they are short or formulaic.	Use no when dialogue contains a clear rhetorical parallel pair or meaningful dialogic echo.	Dialogue genre is not by itself a false positive; dialogic echo can count.
false_positive_template_or_quote	yes; no; uncertain	Whether a template, boilerplate, copied title pattern, or quoted source is the main reason for the match.	Use yes when template/quotation makes the current relation a poor test of rhetorical parallelism.	Use no when the quoted language itself is the rhetorical figure being evaluated.	Explain quoted genuine cases in notes.
bad_segmentation	yes; no; uncertain	Whether the relation arguments are split so badly that the pair cannot be judged.	Use yes for stray complements, broken constructions, or crucial material outside the row.	Use no when the pair is interpretable as given.	Use uncertain for heavy redaction or markup.
confidence	0-1	Numeric confidence in the primary code.	0.90-1.00 clear; 0.70-0.89 likely; 0.50-0.69 difficult.	Below 0.50 should be rare.	Confidence is for the primary human_isocolonic judgment.
notes	free text	Brief reason for the code.	State what made the case count or not count.	Do not paste long context.	Mention repetition, list formatting, dialogue formula, quotation, bad segmentation, or genuine slot substitution.
